Area,Item,Year,Value
Malaysia,cattle,2010,38138
Malaysia,cattle,2011,40045
Malaysia,cattle,2012,42287
Malaysia,cattle,2013,44029
Malaysia,cattle,2014,45851
Malaysia,cattle,2015,43672
Malaysia,cattle,2016,41137
Malaysia,cattle,2017,42158
Malaysia,cattle,2018,45998
Malaysia,chicken,2010,1108091
Malaysia,chicken,2011,1147870
Malaysia,chicken,2012,1223188
Malaysia,chicken,2013,1297703
Malaysia,chicken,2014,1415515
Malaysia,chicken,2015,1511442
Malaysia,chicken,2016,1653913
Malaysia,chicken,2017,1648491
Malaysia,chicken,2018,1766369
Malaysia,pig,2010,234000
Malaysia,pig,2011,214308
Malaysia,pig,2012,218471
Malaysia,pig,2013,217422
Malaysia,pig,2014,217558
Malaysia,pig,2015,222598
Malaysia,pig,2016,195176
Malaysia,pig,2017,194375
Malaysia,pig,2018,186012
Malaysia,sheep,2010,716
Malaysia,sheep,2011,823
Malaysia,sheep,2012,1157
Malaysia,sheep,2013,1430
Malaysia,sheep,2014,1551
Malaysia,sheep,2015,1477
Malaysia,sheep,2016,1799
Malaysia,sheep,2017,1503
Malaysia,sheep,2018,1500
